"id","latitude","longitude","addr:city","addr:country","addr:district","addr:full","addr:housename","addr:housenumber","addr:interpolation","addr:number","addr:postcode","addr:street","addr:street:source","alcohol","alt_name","amenity","artwork_type","atm","bicycle:repair","books","brand","building","car_repair","clothes","contact:email","contact:facebook","contact:website","craft","created_by","cuisine","description","designation","diaper","diet:gluten_free","dispensing","distillery","disused:amenity","disused:name","disused:shop","doityourself","email","facebook","fair_trade","fax","fee","female","fhrs:id","fish","from","gallery","healthcare","healthcare:speciality","lawyer","leisure","level","male","massage","medical_system","music","music_genre","name","note","office","old_name","old_old_name","opening_hours","opening_hours:url","operator","organic","payment:bitcoin","phone","religion","rental","repair","retail","roof:levels","second_hand","self_service","service","service:bicycle:rental","service:bicycle:repair","service:bicycle:retail","service:bicycle:second_hand","shop","source","source:shop","tailor:alteration_service","toilets:wheelchair","tourism","trade","twitter","type","uk_postcode_centroid","unisex","url","vending","web","website","wheelchair","wheelchair:description","wholesale"
"node/249966954",55.9400118,-3.2190937,,,,,,"155",,,,"Dundee Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Food & News",,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,"yes",,
"node/254350692",55.9347086,-3.1799539,,,,,,"250",,,,"Causewayside",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Bike Station",,,,,"Mo-Tu 10:00-17:00; We 10:00-20:00; Th-Sa 10:00-17:00",,,,,,,,,,,,,,,,,,"bicycle",,,,,,,,,,,,,,"http://www.thebikestation.org.uk/","yes",,
"node/255108336",55.9372727,-3.3656602,,,,,,,,,,,,,,"fuel",,,,,"BP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BP",,,,,,,"British Petroleum",,,,,,,,,,,,,,,,"yes","survey",,,,,,,,,,,,,,,,
"node/256431035",55.9381013,-3.2917803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Day-Today Express",,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/268408103",55.9490288,-3.1956037,,,,,,"549",,,,"Castlehill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Camera Obscura & World of Illusions",,,,,,,,,,"+44 131 226 3709",,,,,,,,,,,,,"yes","survey",,,,"attraction",,,,,,,,,"http://www.camera-obscura.co.uk/","no",,
"node/270588828",55.8956823,-3.3127216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Co-Op",,,,,,,,,,,,,,,,,,,,,,,"supermarket",,,,,,,,,,,,,,,,,
"node/287844347",55.93613,-3.1946611,,,,,,"102-104",,,,"Marchmont Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sainsbury's Local",,,,,"Mo-Su 07:00-23:00",,"Margiotta",,,"+44 131 465 1620",,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
"node/289343842",55.9396459,-3.2047731,,,,,,"25-26-27",,,,"Bruntsfield Place",,,"velo ecosse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C&G Cycles",,,,,,,,,,"+44 131 229 2777",,,,,,,,,,,,,"bicycle","survey",,,,,,,,,,,,,,,,
"node/289343929",55.9415461,-3.2037701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scotmid Co-operative",,,,,"Mo-Su 07:00-22:00",,,,,,,,,,,,,,,,,,"supermarket",,,,,,,,,,,,,,,,,
"node/314714886",55.9255053,-3.2095773,"Edinburgh",,,,,"416",,,"EH10 5HY","Morningside Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Belle & Beau",,,,,,,,,,,,,,,,,,,,,,,"hairdresser","www.npemap.org.uk",,,,,,,,"EH10 5HY",,,,,,,,
"node/315516169",55.9134373,-3.1394198,,,,,,,,,,,,,,,,,,,,,,,,,,,"Potlatch 0.10f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/315516594",55.9184757,-3.1386029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"usave",,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/316226917",55.9352799,-3.116151,,,,,,,,,,,,,,,,,,,,,,,,,,,"Potlatch 0.10f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/332018785",55.9384829,-3.1976537,,,,,,"77",,,,"Warrender Park Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Margiotta",,,,,"Mo-Su 07:00-23:00",,,,,"+44 131 229 8228",,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,"http://www.margiotta.co.uk/",,,
"node/350561161",55.9377502,-3.4029754,,,,,,,,,,,,,,"fuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BP",,,,,,,"BP",,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/359024561",55.945229,-3.2056125,,,,,,"136",,,,"Lothian Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British Heart Foundation",,,,,,,,,,,,,,,,,,,,,,,"charity","survey",,,,,,,,,,,,,,,,
"node/366190731",55.9438677,-3.1918679,"Edinburgh","GB",,,,,,,,"Simpson Loan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sainsbury's Local",,,,,"Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 08:00-21:00",,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/366191000",55.9447948,-3.1836642,,,,,,"94-100",,,,"Nicolson Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tesco Metro",,,,,"Mo-Su 06:00-01:00",,,,,,,,,,,,,,,,,,"supermarket","survey",,,,,,,,,,,,,,"yes",,
"node/366192004",55.9382638,-3.192592,,,,,,"12",,,,"Roseneath Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amnesty Bookshop",,,,,,,,,,,,,,,,,,,,,,,"books","survey",,,,,,,,,,,,,,,,
"node/389479183",55.8826817,-3.3387192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scotmid",,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/428963351",55.9338198,-3.2338266,,,,,,"91",,,"EH11 1QR","Slateford Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freewheelin'",,,,,,,"independent",,,"+44-131-337-2351",,,,,,,,,,,,,"bicycle",,,,,,,,,,,,,,"http://www.freewheelin.biz",,,
"node/440797698",55.9412176,-3.1828378,,,,,,"1",,,,"Hope Park Crescent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tills Bookshop",,,,,,,,,,"+44 131 667 0895",,,,,,,,,,,,,"books",,,,,,,,,,,,,,,,,
"node/446759697",55.9533557,-3.1941234,,,,,,"9-10",,,,"St Andrew Square",,,,,,,,,,,,,,,,,,,"St Andrew Square Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sainsbury's Local",,,,,"Mo-Su 07:00-22:00",,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,"yes",,
"node/464769057",55.9571895,-3.1689348,,,,,,"1",,,,"Cadzow Place",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eastside Bikes",,,,,,,,,,"+44 131 466 1740",,,,,,,,,,,,,"bicycle","survey",,,,,,,,,,,,,"http://www.eastsidebikes.com/",,,
"node/476764416",55.9695431,-3.2699615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/477273588",55.9341803,-3.210733,,,,,,,,,"EH10 5DN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65020",,,,,,,,,,,,,,"Tesco Metro",,,,,"Mo-Sa 08:00-22:00; Su 09:00-22:00",,"Tesco",,,,,,,,,,,,,,,,"supermarket","survey",,,,,,,,,,,,,,"yes",,
"node/482356128",55.937539,-3.2261292,,,,,,"60",,,,"Angle Park Terrace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
"node/482359594",55.9333144,-3.2294499,,,,,,"47-48-49-50",,,,"Ashley Terrace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Margiotta",,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,"limited",,
"node/482359758",55.9323251,-3.2283509,,,,,,"2-4",,,,"Cowan Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Londis",,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
"node/482359875",55.9332858,-3.2298991,,,,,,"30",,,,"Ashley Terrace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
"node/482379477",55.9374035,-3.2224855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"V&S Sharma",,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
"node/482446521",55.9398452,-3.2120902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/482452961",55.9399166,-3.2194246,,,,,,"157",,,,"Dundee Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fountain News",,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,"limited",,
"node/483034148",55.9368178,-3.2366301,,,,,,"269",,,,"Gorgie Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Khrishnas Foods",,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
"node/487094472",55.9143573,-3.2910477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Co-op",,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/493515478",55.9374533,-3.2263052,,,,,,"25",,,,"Ardmillan Terrace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Activity Awards",,,,,,,,,,,,,,,,,,,,,,,"sports","survey",,,,,,,,,,,,,"http://www.activityawards.co.uk/",,,
"node/496274070",55.9645873,-3.240719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/499994688",55.9353817,-3.2098081,,,,,,"185",,,"EH10 4DG","Bruntsfield Place",,,"Falko Konditormeister","cafe",,,,,,,,,,,,,,"german","small German bakery in Scotland specialising in premium quality, traditionally made, German Konditorei cakes and gâteaux",,,,,,,,,,,,,,,,"68827",,,,,,,,,,,,,,"Falko",,,,,,,,,,"+44 131 656 0763",,,,,,,,,,,,,"bakery","survey",,,,,,,,,,,,,"http://www.falko.co.uk/",,,
"node/502534799",55.9508773,-3.205764,,,,,,"5",,,,"South Charlotte Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holder Planning",,"yes",,,,,,,,,,,,,,,,,,,,,"vacant","survey",,,,,,,,,,,,,"http://www.holderplanning.co.uk/",,,
"node/504319866",55.9379712,-3.1813444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sainsbury's Local",,,,,"06:30-23:00",,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/504631805",55.9449289,-3.1842347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scotmid",,,,,"24/7",,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,"yes",,
"node/504921049",55.9417494,-3.1819774,,,,,,"59",,,,"Clerk Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vogue Video",,,,,,,,,,,,,,,,,,,,,,,"video",,,,,,,,,,,,,,,,,
"node/504921050",55.9417925,-3.1815443,,,,,,"64-66",,,,"Clerk Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W Armstrong & Son",,,,,,,,,,,,,,,,"yes",,,,,,,"clothes","survey",,,,,,,,,,,,,"http://www.armstrongsvintage.co.uk/",,,
"node/504921051",55.9406447,-3.1769726,"Edinburgh",,,,,"2",,,"EH16 5BP","Dalkeith Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Grog",,,,,,,,,,,,,,,,,,,,,,,"alcohol","survey",,,,,,,,,,,,,"http://www.greatgrogshop.co.uk/",,,
"node/511213040",55.950678,-3.190799,,,,,,"9",,,,"Cockburn Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Underground Solu'shn",,,,,,,,,,,,,,,,,,,,,,,"music","survey",,,,,,,,,,,,,"https://www.undergroundsolushm.com",,,
"node/512533396",55.9623992,-3.2363631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/512536999",55.9629817,-3.2348066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shop",,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/548101638",55.9337219,-3.2103787,,,,,,"16",,,"EH10 4DB","Morningside Road",,,,"cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129050",,,,,,,,,,,,,,"Cafe S. Luca",,,,,,,,,,"+44 131 665 2237",,,,,,,,,,,,,"ice_cream",,,,,,,,,,,,,,"http://www.s-luca.co.uk/",,,
"node/549722187",55.9283372,-3.2096631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oxfam Book Shop",,,,,,,,,,,,,,,,,,,,,,,"books",,,,,,,,,,,,,,,,,
"node/549722627",55.9284355,-3.2096768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oxfam",,,,,,,,,,,,,,,,,,,,,,,"clothes","survey",,,,,,,,,,,,,"http://www.oxfam.org.uk/",,,
"node/567240114",55.9386259,-3.1916564,,,,,,"25-26-27-28",,,,"Argyle Place",,,,,,,,,,,,,,,,,,,,,,,,,,"Bodrum Fine Foods","supermarket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vacant","survey",,,,,,,,,,,,,,,,
"node/567240115",55.9383766,-3.1916435,,,,,,"18",,,,"Argyle Place",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nadia's",,,,,"Mo-Sa 08:00-20:00; Su 09:00-19:00",,,,,"+44 131 228 1946",,,,,,,,,,,,,"greengrocer","survey",,,,,,,,,,,,,,,,
"node/574814418",55.978759,-3.1834722,"Edinburgh",,,,,"3A",,,,"Lindsay Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scotmid Co-operative",,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,"yes","Has some narrow aisles.",
"node/574816299",55.9784173,-3.1932815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/587691025",55.9746947,-3.1720608,"Edinburgh","GB",,,,"85",,,,"Henderson Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
"node/587958552",55.9360063,-3.2214193,,,,,,"81-83",,,,"Polwarth Gardens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Traditional Fire Surrounds",,,,,,,,,,,,,,,,,,,,,,,"fire_surrounds","survey",,,,,,,,,,,,,,,,
"node/587958560",55.9507994,-3.2047897,,,,,,"128",,,,"Princes Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waterstones",,,,,,,,,,"+44-131-226-2666",,,,,,,,,,,,,"books","survey",,,,,,,,,,,,,"http://www.waterstones.com/",,,
"node/588412996",55.9756628,-3.1789124,"Edinburgh","GB",,,,"12",,,,"North Junction Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nut-Hoose",,,,,,,,,,,,,,,,,,,,,,,"hairdresser","survey",,,,,,,,,,,,,,,,
"node/588498408",55.9633319,-3.1779087,,,,,,"28",,,,"Crighton Place",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnados",,,,,,,,,,,,,,,,,,,,,,,"charity","survey",,,,,,,,,,,,,,,,
"node/588498409",55.9642554,-3.1775738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St Columba's Hospice",,,,,,,,,,,,,,,,,,,,,,,"charity",,,,,,,,,,,,,,,,,
"node/588498421",55.9646306,-3.1772557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AdvoCard",,,,,,,,,,,,,,,,,,,,,,,"charity",,,,,,,,,,,,,,,,,
"node/588498423",55.965655,-3.1763495,,,,,,"276",,,,"Leith Walk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leith Cycles",,,,,,,,,,,,,,,,,,,,,,,"bicycle","survey",,,,,,,,,,,,,"http://www.leithcycleco.com/","unknown",,
"node/588498426",55.9662924,-3.1757475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford's Furniture Salesroom",,,,,,,,,,,,,,,,,,,,,,,"furniture",,,,,,,,,,,,,,,,,
"node/588498434",55.9680765,-3.1742698,,,,,,"144-150",,,,"Leith Walk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnardo's Furniture",,,,,,,,,,,,,,,,,,,,,,,"charity","survey",,,,,,,,,,,,,,,,
"node/588498439",55.9710064,-3.1723834,,,,,,"16",,,,"Great Junction Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Capability Scotland",,,,,,,,,,,,,,,,,,,,,,,"charity","survey",,,,,,,,,,,,,,,,
"node/588498442",55.9713482,-3.1729206,,,,,,"44",,,,"Great Junction Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fruit Heaven",,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
"node/588498450",55.9703552,-3.1705675,,,,,,"17",,,,"Duke Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethany Shop",,,,,,,,,,,,,,,,,,,,,,,"charity","survey",,,,,,,,,,,,,"http://www.bethanychristiantrust.com/",,,
"node/588985936",55.9416037,-3.2231491,"Edinburgh","GB",,,,"162",,,,"Dalry Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prestige",,,,,,,,,,,,,,,,,,,,,,,"hairdresser",,,,,,,,,,,,,,,,,
"node/597685536",55.9504516,-3.1864147,,,,,,"115",,,,"High Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnstons Cashmere",,,,,,,,,,,,,,,,,,,,,,,"clothes","survey",,,,,,,,,,,,,,,,
"node/597685537",55.9504737,-3.1862899,"Edinburgh",,,,,"109",,,,"High Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shortbread House",,,,,,,,,,,,,,,,,,,,,,,"gift",,,,,,,,,,,,,,,,,
"node/606101254",55.9744744,-3.2097019,"Edinburgh","GB",,,,"41",,,,"South Trinity Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A & A STORES",,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
"node/611401840",55.9785312,-3.2317995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"convenience",,,,,,,,,,,,,,,,,
"node/620537776",55.9360196,-3.1802783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tesco Express",,,,,"Mo-Su 06:00-23:00",,"Tesco",,,,,,,,,,,,,,,,"supermarket",,,,,,,,,,,,,,,,,
"node/623960608",55.970555,-3.2069089,,,,,,"16A",,,,"Royston Terrace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T.C. Juner & Son",,,,,,,,,,"+44 131 552 3769",,,,,,,,,,,,,"car_repair",,,,,,,,,,,,,,"http://www.tcjuner-edinburgh.co.uk/",,,
"node/624524081",55.9805549,-3.2224831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"metro Auto Centre",,,,,,,,,,"+44-131-551-1655",,,,,,,,,,,,,"car_repair",,,,,,,,,,,,,,,,,
